"시점",계,15 - 19세,20 - 29세,30 - 39세,40 - 49세,50 - 59세,60세이상,15 - 64세,15 - 24세,15 - 29세
"시점",계,계,계,계,계,계,계,계,계,계
"2018.02",4.6,11.7,9.6,3.2,2.6,2.5,8.0,4.0,12.1,9.8
"2018.03",4.5,11.6,11.6,3.7,2.8,2.8,3.8,4.6,13.3,11.6
"2018.04",4.1,10.3,10.7,3.7,2.7,2.6,2.7,4.3,10.9,10.7
"2018.05",4.0,9.0,10.6,3.7,2.4,2.6,2.4,4.2,10.9,10.5
"2018.06",3.7,6.8,9.1,3.5,2.3,2.6,2.4,3.9,9.9,9.0
"2018.07",3.7,10.7,9.2,3.5,2.5,2.4,2.2,3.9,10.8,9.3
"2018.08",4.0,11.4,9.9,3.7,2.7,2.9,2.3,4.3,11.5,10.0
"2018.09",3.6,5.9,9.0,3.6,2.4,2.4,2.5,3.8,9.7,8.8
"2018.10",3.5,5.8,8.5,3.3,2.4,2.4,2.3,3.6,8.9,8.4
"2018.11",3.2,4.7,8.1,2.9,2.2,2.2,2.3,3.4,8.5,7.9
"2018.12",3.4,9.2,8.6,2.8,2.3,2.4,2.6,3.5,9.7,8.6
"2019.01",4.5,11.9,8.7,3.0,2.6,2.9,7.4,4.0,10.4,8.9
"2019.02",4.7,12.7,9.3,3.5,2.8,3.2,6.8,4.3,11.7,9.5
"2019.03",4.3,10.2,10.9,3.7,2.5,3.0,3.2,4.4,12.9,10.8
"2019.04",4.4,8.6,11.7,4.0,2.5,2.9,3.0,4.6,13.2,11.5
"2019.05",4.0,7.1,10.1,3.7,2.4,2.6,3.2,4.2,11.2,9.9
"2019.06",4.0,8.2,10.5,3.7,2.4,2.4,3.0,4.2,12.2,10.4
"2019.07",3.9,12.0,9.7,3.7,2.3,2.5,2.6,4.1,11.6,9.8
"2019.08",3.0,7.5,7.1,3.0,1.9,2.3,2.0,3.2,8.1,7.2
"2019.09",3.1,5.9,7.4,2.8,2.2,2.3,2.3,3.3,8.2,7.3
"2019.10",3.0,4.9,7.3,3.0,1.9,2.2,2.2,3.2,8.0,7.2
"2019.11",3.1,4.6,7.1,2.9,2.1,2.2,2.1,3.2,8.2,7.0
"2019.12",3.4,6.9,7.3,2.7,1.9,2.2,4.2,3.2,9.2,7.3
"2020.01",4.1,10.6,7.5,2.9,2.0,2.8,7.1,3.5,9.5,7.7
"2020.02",4.1,8.9,9.0,3.3,2.4,2.9,4.8,4.0,11.3,9.0
"2020.03",4.2,13.5,9.7,3.3,2.7,3.2,4.1,4.2,12.4,9.9
"2020.04",4.2,12.7,9.1,3.5,2.8,3.6,3.7,4.3,12.4,9.3
"2020.05",4.5,7.5,10.3,3.9,2.9,3.7,3.7,4.7,11.8,10.2
"2020.06",4.3,5.3,11.0,3.7,2.8,3.3,3.1,4.5,11.6,10.7
"2020.07",4.0,9.7,9.7,3.4,2.7,3.2,2.8,4.2,10.6,9.7
"2020.08",3.1,8.0,7.7,2.9,2.1,2.2,2.0,3.3,8.5,7.7
"2020.09",3.6,9.2,8.9,3.6,2.4,2.4,2.3,3.8,10.1,8.9
"2020.10",3.7,6.3,8.4,4.0,2.6,2.6,2.4,3.9,9.0,8.3
"2020.11",3.4,5.9,8.2,3.7,2.3,2.4,2.2,3.7,9.0,8.1
"2020.12",4.1,6.9,8.2,3.8,2.4,2.7,5.3,3.8,9.9,8.1
"2021.01",5.7,13.8,9.3,4.3,2.8,3.6,10.8,4.7,12.1,9.5
"2021.02",4.9,12.1,10.0,4.0,2.7,3.8,5.8,4.7,11.6,10.1
"2021.03",4.3,11.5,10.0,4.1,2.7,3.1,3.5,4.5,11.4,10.0
"2021.04",4.0,9.3,10.0,3.6,2.6,2.7,3.2,4.2,10.8,10.0
"2021.05",4.0,8.9,9.3,3.3,2.9,2.9,3.3,4.2,9.3,9.3
"2021.06",3.8,9.5,8.8,3.0,2.6,2.9,3.1,4.0,9.2,8.9
