"","jobkorea.co.kr","saramin.co.kr","jobplanet.co.kr"
"None completed","91138","109601","59584"
"Compulsory or High school","473562","603497","172615"
"University or College","1634196","1988616","561018"
"Postgraduate","309635","341152","97157"
