"시점",계,계,계,계
"시점",계,중졸이하,고졸,대졸이상
"1999.06",6.7,5.4,8.2,5.8
"1999.07",6.7,5.6,8.0,5.6
"1999.08",6.2,4.9,7.6,5.6
"1999.09",5.2,4.4,6.2,4.6
"1999.10",5.0,4.0,5.8,4.8
"1999.11",4.8,3.6,5.7,4.6
"1999.12",5.2,4.3,6.2,4.5
"2000.01",5.7,4.8,6.8,4.8
"2000.02",5.7,4.5,6.4,5.9
"2000.03",5.1,4.0,5.7,5.4
"2000.04",4.5,3.3,5.2,4.6
"2000.05",4.1,3.1,4.7,4.4
"2000.06",3.9,3.0,4.5,3.9
"2000.07",4.0,3.3,4.6,3.7
"2000.08",4.1,3.4,4.9,3.5
"2000.09",4.0,3.4,4.6,3.8
"2000.10",3.7,3.0,4.2,3.8
"2000.11",3.9,3.2,4.5,3.6
"2000.12",4.4,3.7,5.4,3.5
"2001.01",5.1,4.7,5.8,4.0
"2001.02",5.5,5.1,6.1,4.7
"2001.03",5.1,4.1,5.7,5.3
"2001.04",4.1,3.1,4.6,4.4
"2001.05",3.7,2.6,4.2,4.1
"2001.06",3.6,2.5,4.1,3.9
"2001.07",3.6,2.6,4.2,3.7
"2001.08",3.6,2.7,4.1,4.0
"2001.09",3.3,2.2,3.9,3.6
"2001.10",3.3,2.4,3.8,3.6
"2001.11",3.4,2.2,4.1,3.6
"2001.12",3.7,2.7,4.4,3.7
"2002.01",4.1,3.0,5.0,3.9
"2002.02",4.1,3.0,4.6,4.2
"2002.03",3.8,2.7,4.2,4.3
"2002.04",3.4,2.2,3.9,3.9
"2002.05",3.1,2.3,3.4,3.6
"2002.06",2.9,1.9,3.3,3.4
"2002.07",3.0,2.0,3.5,3.3
"2002.08",3.2,2.3,3.6,3.5
"2002.09",2.7,1.7,3.0,3.3
"2002.10",2.8,1.7,3.2,3.5
"2002.11",2.9,1.8,3.2,3.5
"2002.12",3.1,2.2,3.4,3.5
"2003.01",3.7,2.4,4.7,3.5
"2003.02",3.8,2.1,4.7,4.1
"2003.03",3.7,2.1,4.1,4.5
"2003.04",3.5,1.9,4.0,4.0
"2003.05",3.4,1.9,4.0,3.9
"2003.06",3.4,2.0,4.2,3.6
"2003.07",3.6,2.3,4.4,3.4
"2003.08",3.5,2.4,4.1,3.7
"2003.09",3.3,2.2,4.0,3.4
"2003.10",3.4,2.2,4.3,3.4
"2003.11",3.5,2.2,4.4,3.4
"2003.12",3.8,2.7,4.8,3.1
"2004.01",4.0,2.9,5.1,3.2
"2004.02",4.1,2.8,4.8,4.3
"2004.03",4.0,2.5,4.7,4.2
"2004.04",3.7,2.3,4.2,4.0
"2004.05",3.5,2.2,4.1,3.8
"2004.06",3.4,2.4,4.1,3.2
"2004.07",3.6,2.7,4.5,3.2
"2004.08",3.6,2.6,4.3,3.6
"2004.09",3.3,2.3,4.2,3.0
"2004.10",3.4,2.2,4.4,3.0
"2004.11",3.5,2.5,4.4,2.9
"2004.12",3.8,2.5,5.2,3.0
"2005.01",4.3,3.3,5.5,3.2
"2005.02",4.3,3.0,5.2,4.0
"2005.03",4.1,2.9,4.8,4.0
"2005.04",3.8,2.6,4.3,3.9
"2005.05",3.6,2.7,4.1,3.5
"2005.06",3.6,2.7,4.5,3.3
"2005.07",3.7,2.5,4.7,3.2
"2005.08",3.6,2.5,4.4,3.3
"2005.09",3.6,2.5,4.5,3.4
"2005.10",3.6,2.5,4.5,3.3
